Curated ID,M013,M035,M078,M073,M012,M038,M054,M021,M062,M053,M018,M036,M025,M010,M041,M005,M060,M074,M042,M075,M032,M055,M022,M034,M046,M047,M039,M020,M033,M011,M065,M019,M017,M009,M045,M008,M015,M037,M080,M061,M071,M070,M052,M051,M066,M043,M003,M024,M031,M001,M057,M044,M006,M026,M007,M064,M002,M059,M030,M048,M079,M058,M072,M028,M077,M069,M023,M063,M067,M068,M027,M004,M076,M056
Oleoylcarnitine,33972.49423,145837.6824,100629.6326,75000.26397,2229401.264,6288.860565,188037.2703,20781.01233,57166.46949,558834.1807,8590.208232,21131.67176,268945.2178,1610507.251,37832.39683,377703.2942,10674726.76,68457.47632,12975.57402,26447.58841,56408.43937,6053925.859,79592.099,30210.8317,98035.58269,287062.9073,5840.894287,21904.88051,242792.4642,88258.09375,102066.2181,103110.5998,264204.493,439018.8428,36038.31058,171904.2721,59460.10914,9498.119227,13485.42286,44008.08076,16911.75451,4061.237637,238252.9437,4569951.739,16630.42172,63622.85333,54270.67908,18766.14784,310327.2116,4445.847912,1564628.809,396126.1676,1410691.318,604593.0888,778900.7073,60229.51409,22659.05146,97720.43494,62631.70408,258292.1199,10972.28895,309316.5758,10618.16518,83582.1285,135497.857,48660.48883,14999.68228,66273.78273,74325.12258,28836.69594,427586.9183,29808.86789,17504.00403,730483.2691
Ophthalmic acid,16190.73274,18169.69035,21647.29402,21953.91963,44534.67535,19953.58981,47549.13557,25066.94958,34740.02617,58325.65469,15657.49354,17171.3357,63549.46072,77358.28152,18345.44019,27642.75364,55036.1552,22027.88828,28548.87178,24109.77406,14667.53663,33376.0044,21035.59125,14330.24209,31088.76209,66719.30534,18429.2936,19279.91939,43800.83214,27265.47167,18985.23259,14682.41649,43670.09558,68430.55814,22162.60325,43912.53522,16184.12718,10095.95151,49957.37307,20056.59184,16518.8169,13268.36119,33939.52965,57169.93374,20786.55535,42560.69344,34698.69001,19598.27548,20563.90994,22783.09142,76454.00296,120421.1257,38733.91508,93046.71392,22959.37242,17068.95599,22723.28319,21084.66294,11024.19715,38428.28248,22726.10367,34567.38362,20422.44597,65688.01387,18647.92735,29597.16312,22063.38111,77011.81549,40653.61467,29758.79431,83178.03228,33167.02682,18322.009,13795.51956
Ornithine,571439.0318,628830.6125,324211.5148,417191.7631,1044864.763,802945.4029,1237210.254,652291.2049,258911.3837,1186678.56,529321.8403,1844742.488,2288763.613,1564915.93,2238106.75,5795850.494,615779.9124,595697.668,753765.5508,808189.1995,1532421.309,688708.5909,390591.1701,981152.2843,1455003.449,1152880.125,824407.7436,800322.999,1081730.27,1686179.42,715467.5941,593570.5106,1363184.137,2901508.52,739889.9757,583458.8825,1411066.911,449291.2402,719560.451,627160.1024,381688.7637,561515.3812,1062604.292,1284851.472,685313.4786,696786.133,304447.4591,574543.3157,1605180.883,235057.998,2962336.389,2941248.398,524266.7194,5145214.744,2792408.571,1488609.251,371300.1741,1236594.836,691746.1599,7120218.188,640072.4976,3971535.901,414363.9928,805424.016,768907.6942,593411.5583,532332.1402,2532777.577,802262.5199,974783.1832,1437822.383,881183.7388,875160.7915,454964.1278
Palmitoylcarnitine,21871.16668,72501.13244,43605.20165,6495.063776,1393400.479,8168.776959,252399.1878,29457.89659,95466.06303,505198.8328,11221.82511,44026.59,287915.6993,1471826.334,35324.19387,437042.6364,7846788.5,34499.73461,15148.09232,34741.12899,38508.92607,3517799.878,71432.70156,18223.44474,106969.2331,193784.0992,6070.072939,18048.00552,190954.7901,66589.55153,30092.77158,10131.64899,222230.744,646301.8434,33723.62557,226098.4256,44637.47453,7245.724135,16119.72682,45006.7736,12362.66845,4457.695127,224030.2499,2278675.59,11210.58547,54902.44914,71328.17715,13937.40484,489240.3607,16005.96322,1056546.348,798203.5212,1133127.188,764919.8335,535384.8984,68984.48989,32608.84128,99296.11772,26875.75657,614169.1402,13936.59309,282984.5269,14842.21407,90547.11635,52793.53795,42433.7607,24132.18024,63063.41411,62087.15974,25627.0659,924536.9917,29972.40023,17234.2604,338004.9123
p-Aminobenzoic acid (PABA),428952.201,269242.8078,269020.5955,547591.8432,16705.86667,653040.4233,30249.18033,109935.9679,34023.45731,31079.35931,451694.0395,172885.9528,22824.51872,86984.05156,54808.91365,25874.59498,106922.208,294437.9133,593213.8487,111485.9361,218617.6985,20055.06323,75064.4364,362721.0085,14200.3528,19907.31055,524716.9082,169355.2844,65968.49129,74632.74628,681765.1843,409450.7668,15278.45814,19133.25136,315202.196,93813.39342,166963.6957,631600.7819,218274.19,249034.392,584000.8653,601225.8807,28969.57324,30252.731,720409.7831,81834.54225,126828.9337,455001.8263,47537.49465,281081.8113,30784.09643,15529.74294,21833.39849,19028.63984,42406.4689,349134.7409,92469.07235,137986.3838,365469.7384,38220.69875,311650.1473,13373.53399,235465.5824,124096.0399,334921.1114,255501.3645,355680.214,95613.63759,178021.4249,353601.0941,57760.64534,111869.1526,442064.0811,13745.04289
Pantothenic acid,286703.0426,160934.0819,201890.493,246287.3347,1943031.846,127387.842,188393.8704,218632.426,181186.9384,930616.6931,101545.4672,231266.4123,382123.5027,590498.65,134845.1306,1742045.048,6089192.74,91928.80185,317213.3817,95692.8182,661804.1095,1368879.201,172148.0763,497745.4044,439382.3685,1643225.646,95118.00767,75748.92019,477532.4296,863481.0882,394398.6391,143783.8945,348153.6521,1146022.218,395139.9532,954017.0025,860783.1684,266875.9942,75025.76578,913447.7759,604222.5928,348721.5868,303185.6674,651580.428,282260.8457,886790.8969,184138.1724,330964.5857,472015.9151,267549.7337,1655964.294,2405229.707,468597.8261,761163.5441,2016854.105,456586.8181,124723.2423,4813820.526,136716.1507,336614.6723,68132.09953,621253.5753,79731.48903,554277.1135,247439.402,578422.8281,816180.3486,429120.789,227553.9466,220052.508,670755.708,197770.6039,98210.69928,173951.4583
PC(16:0_18:2),2857733.874,12994557.57,7624996.488,101571.4156,4529579.649,1726591.053,85876212.22,17929991.13,21579555.73,122291347.6,1145665.853,6637686.056,59652306.96,48899285.47,7734788.348,55583899.41,91227869,6331081.26,9210715.383,14951474.43,2501302.475,90681894.95,18400804.31,1094945.545,25441229.54,106746353.4,241054.1556,567616.3395,22508183.36,40892806.37,12259406.34,1454632.939,37453520.79,110091951.6,8557447.296,34953647.24,12980139.28,5899776.805,3557179.214,7396756.931,3006558.253,739872.7821,79118162.56,117954621,496399.8042,18953964.43,18559110.67,10647757.64,34415123.25,583704.9759,94191991.08,82557542.32,128488571,170735962.4,120215500.7,18635454.65,16619307.38,24602970.05,3222880.461,104884076.8,5209071.032,22063366.6,2403198.1,22831060.81,12296795.68,15159801.53,11253361.16,30324930.03,14768969.01,21142593.75,48863277.14,17190252.84,8715072.216,15483360.32
Phenylalanine,268803.2092,591867.8449,501943.0578,268869.0655,3797332.884,299130.7479,1085077.034,655218.8071,1110419.225,3019952.732,276043.235,203864.4032,5011225.667,1651895.57,1836111.763,907666.3955,8111547.021,402202.8066,378116.1653,994781.7137,915455.5681,2657730.465,1101401.566,231136.6175,766428.2966,1795231.004,234611.7861,369544.1346,13274914.29,521456.8033,489462.7029,318713.1402,3467891.402,1534201.848,550214.1896,795343.5093,600230.3633,404146.6489,1013949.881,705491.6575,683350.8717,329591.2733,862066.8392,2228328.988,373702.4456,749405.1219,1134939.126,548196.7969,1266289.654,453738.6572,6687926.901,14829398.71,4707506.058,8983161.502,6530721.706,979522.7835,996621.4803,509320.9487,351718.6965,2958060.995,635018.5412,2123606.673,519698.8402,1158089.557,983004.2134,1415207.862,665058.1348,1684889.718,1577457.102,1180347.064,2833795.07,1873928.583,705791.8171,232263.8364
Phosphorylcholine,240614.5632,2099803.675,683516.3531,107004.2037,17593168.59,206331.9434,10031317.15,1197623.486,2063927.461,16230603.15,179197.7434,325363.6122,4623366.968,5584414.921,886617.3811,7732841.687,14966540.1,359582.7776,314077.0494,770513.4277,66205.75902,27120657.44,1369846.241,163598.1877,932115.4662,8454582.354,90158.62276,247829.686,4280752.183,1970664.398,660844.5436,104312.8447,4427174.97,15803395.75,1287778.818,5663020.236,267262.2713,248329.6122,358721.9889,515044.536,37465.01729,22115.97833,6940879.747,17381750.36,62614.71403,1920892.647,3519400.155,807114.4964,4272976.188,88510.43952,20534056.23,15904966.12,13146366.59,11299452.53,10671836.7,1347140.795,1117293.148,2032971.504,145425.8511,12095851.77,1646778.642,4016171.04,182203.7185,3045111.756,827466.3396,1081405.836,136889.4489,3269588.998,1888482.952,2088376.64,8878001.239,2433201.481,576733.4747,1406569.051
Pimelic acid,169939.2974,413867.197,766566.151,1303497.622,91464.74817,708693.4459,46011.09078,164620.4552,64067.68411,70291.02324,425164.9537,418619.4582,30809.06052,64194.96579,197318.2849,58570.28285,19502.6937,491680.7473,641643.3109,303841.4194,139212.7053,10956.70976,68288.55731,366296.2536,76885.01824,34464.45929,511662.018,145494.9386,33706.20659,98718.53454,712077.1662,168624.741,38384.66726,33522.14547,1135336.909,178348.5491,131388.5944,493142.6387,493630.6448,833340.4912,682817.3295,1048943.291,92953.81129,35787.62027,1232117.51,374939.829,45818.82428,243082.9994,50767.95225,69635.82444,72105.77132,24926.05196,16911.77004,42290.92861,93895.62141,420259.056,71918.36707,80709.85182,303362.0238,64211.09605,485228.8269,31690.25828,808763.259,244862.3088,427102.5429,539216.8643,146062.4488,270374.4271,296361.4409,438186.58,66540.05814,90434.13293,548891.7146,87649.84343
