genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766
MPB:bin_000237,141.65970960804316,88.88756457074889,37.25689205196132,91.97537517211259,0,0,0,30.234434736938926,0,2.9011812137650757,3.4334751894555096,0,97.49721425095824,44.731809778453076,1.566128100220964,30.771204868934632,31.49765870694903,4.2991638188950665,79.05250127614337,167.82974175913293,61.74694375068897,153.88124880196992,0,0,6.044812117288635,17.499032799166976,49.029815062775015,3.836961184878947,12.832297556615478,0,51.359786071325004,45.244829951699636,9.816316098785785,63.01680296416336,61.61566071928847,0,94.76628495878074,103.81617777677917,70.69662332811173,0,145.3247863907997,0,0,0,0,0,0,0,0,0,0,0,0,0,92.97971932569074,82.71720943426298,19.81431148290319,73.46236131814553,107.11168203070748,133.11483254260423,10.324596812414995,1.623949507552592,56.48108815184245,83.71770935948484,11.654067895743122,35.09475057452782,35.29838935608648,16.639768770542045,5.539691043404322,7.619418584158408,14.734190040394237,22.715703339317923,25.203235049813475,42.779994986704935
MPB:bin_000246,0,0,0,0,8.319924109455094,0,0.8659064228689604,18.089318402715904,0,10.814147848197909,49.348975746342994,2.9117267446223867,22.440531765035807,45.746043403881814,1.9126288945559375,18.91225611298463,11.500419572298778,14.032284366553927,0,0,0,0,0,0.6457815302328326,1.042529837196065,11.240800526032787,6.002462767398198,10.883893828596456,38.54874929775303,0.8706781505216009,89.7198300956106,32.79580619188028,4.636219852796063,33.29676810422812,27.04703255677198,0,0,0,0,0,0,0,0,0.9063734530105279,0,3.395593826836011,0.72319470409266,1.0260141002235763,2.59802039705098,2.880710514880224,0,2.0477892385033023,12.85371396380467,6.101371879421377,0,0,0,0,0,14.068327124939891,1.9234463548170206,2.413405497092026,5.280194612364303,5.300439709298321,17.04757613221979,2.6268360727785756,14.082364343180183,5.6392092089093255,9.436230415455332,8.818546485429554,9.104271051426252,3.555307720840652,4.138616680786245,6.527190663103365
MPB:bin_000243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626644179351565,1.6763845732876643,3.1603829178022242,4.303919535367728,15.355404036205064,0,1.601947114001003,17.137243580197396,10.078909645395385,0,0,0,0,0,35.15574536587416,5.103933787891385,4.971960900576771,16.350842315011835,21.364236032755223,8.609734839106366,2.3829580016500036,2.839175802138427,1.997043514964693,2.884057547305131,2.7811150407064864,7.374950093326621,3.2964214288520415,3.6417025187681067,2.7968750428260925
07-TM2:bin_000008,0,0,0,0,1.1921537273682947,0,0,12.109130640449289,0.8260887119486034,13.470534607449604,49.65030921627494,6.336453824915849,5.721560302282772,36.23532736749708,1.0390534148871424,4.20244531829064,9.324514343278665,4.047101960371867,0,0,0,0,0,5.488009426772293,4.291319763074587,8.69314689804262,7.638292474183793,8.383855854921816,40.852561632657945,5.159876801975475,71.1281671178511,20.87422945158536,159.14474671281693,13.104594205665336,16.863190677305017,0,0,0,0,0,0,4.374312444266552,0,0.9770207471733889,0,19.885819018134278,2.3472972050158485,8.670342602760142,6.366884474686236,40.73736878807259,0,10.642378306062055,44.59959395893034,29.07801860332041,0,0,0,0,0,3.5332950187942287,0,5.209323492511468,3.776615603321901,1.3746130123551927,18.851426153211968,4.161023745875912,10.497253266247998,7.448431139252747,5.91137179175965,8.669918916399704,5.660250393654475,3.2682916617028903,4.965280148898341,7.470213602724752
D300699:bin_000001,0,0,0,0,9.459089829844173,31.660584145107833,84.81032934426167,10.950850292514575,5.607666511688925,11.925446040879656,68.45066121696526,15.094007552072826,16.205558881978536,33.954035074984425,0,4.715158952215287,5.230650880159355,3.785606778414203,0,0,0,0,0,18.004655820657838,4.309340980974641,9.591848238332924,7.708807838616061,32.74424556422679,66.04063228485788,20.807394161793116,100.67016890681487,8.570262400365296,149.46242729208737,7.468991103006941,8.813546365886838,0,0,0,0,0,0,12.189107585711039,1.8535689454612847,7.852971608658829,5.634218193386675,166.58604174342054,10.491837714985998,41.54471378219835,88.64989108640074,51.08403652878785,3.1937749638019173,15.608100422332935,54.7679378964377,53.123497660430864,0,0,0,0,0,7.374524295042207,1.8614766628054027,5.900677853585978,6.865784341138116,7.458528584674723,12.31633059205891,1.5066938827317962,3.2249800330137064,3.7371263882352634,3.132246840005183,5.761988657089137,5.755479997428979,1.1361869108623854,2.3323204020526815,3.418293307779917
MPB:bin_000238,0,0,0,0,4.2044211300351835,0,1.3698619414434199,47.91105139378043,0,32.59010080877821,70.6305312208427,8.916196049770141,159.62885301276816,104.8240766500963,6.02081747340228,95.62656157887533,86.47574291569867,94.02207702402539,0,0,0,0,1.7233389899799527,2.379336302700072,7.804405564565835,29.250435430586506,83.6905973830331,23.262090746686297,103.20919275150086,2.580479738500115,342.6711239968547,100.8556199842735,27.46040645555477,125.79717119958778,127.41245765342498,0,0,0,0,0,0,1.11319942855047,0,1.8725192533226462,0,14.916483205842598,4.045311170729045,8.65621245613266,9.906414851962547,55.368320154867476,0,21.217579766321155,21.297520528080913,34.845450097015814,0,0,0,0,0,129.88545514237484,37.549279470845605,36.340808635078304,98.07493610553746,77.73415520204247,97.60528832348265,42.05722725316878,209.39628790393064,75.06501267154444,61.681057271086964,97.5304465947852,35.6030590620105,39.95937770327027,39.230886900762975,94.40497415148064
D300720:bin_000001,0,0,0,0,9.81458803282806,0,2.0310229745953876,70.11040232281728,0,29.19322119041982,98.08732317180892,3.1717608488474243,173.031710397756,230.8248897659276,16.495271562193167,288.48929747035487,145.12094801903152,219.29898460869157,0,0,0,0,8.165283207526082,5.568578271899896,8.190941397175555,81.24476470779108,163.1664669694373,45.75393014963471,224.8778982637758,4.744541775979368,257.53930149634715,121.94934941166431,27.28664344009624,161.10852392701295,129.86550181289832,0,0,0,0,0,0,1.8245556686572293,0,2.658597055857939,0,12.844597899513635,5.883537056554976,4.596301134608751,8.67532234978542,29.163026248267922,0,11.111558443587436,39.526621423326475,33.76404440369045,0,0,0,0,0,143.2307746850412,72.44082091785413,63.72052162438573,139.93940581161,104.46455504372707,154.2237165797573,88.17031269341287,185.85626846999074,123.01804005081162,128.8388437350152,150.01889812797367,129.10284667699403,96.58202268256072,124.30326297661439,175.93445083662522
MPB:bin_000230,0.8829353707508318,1.0888049557163542,1.5377316840253035,4.1461205492070246,5.017152210204135,4.228862097624364,7.698993423943702,0.8726311258735795,3.5017207576296014,30.60366880331934,54.08006059921286,5.87960212696019,10.842003424085194,12.197242317493368,0,1.1748992285862925,0,1.3775083659190126,0.6062279471216911,1.2112870545259626,0,0,5.5781952745655765,9.113227964141638,0.7765094385857778,0,1.6616594530117206,9.2169778685326,15.522406759912736,9.546682945664744,11.798883286432785,0,11.982237327368013,0,0,0,0,0,0,0,0,2.647575754655212,0,5.435135444941395,2.2553377526411165,130.79820884540987,6.395829415840567,46.37091672509156,17.30854764282965,44.50224960633683,5.042466817768251,11.028433359013631,19.745886043048984,82.0734334830747,1.3327233493778798,11.116680757678816,0,0,0.6559036351120271,0.9692757151402269,0.9310423528046309,0,1.0596454806607267,0,0,0.743135988759453,3.4736378454715973,0.9885923294175836,1.5365628443078838,0.9148323914604161,1.043189447797055,0,0,0
07:bin_000158,0,0,0,0.6381764634579294,0,0,0,0,0,0,0,0,0,0,0,1.0846125210030486,1.302153078985836,1.3674799264276443,0,0,0,0,0,0,0,0,4.0413530682537395,0,0,0,0,0,0,0,1.0393364881225873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5836296238448023,0,0.557398271461678,1.4134027597778263,0,0,0,0,0,0,0,0,0,0
MPB:bin_000167,0,0,0,0,0,0,0,0,0,0.8691976174435496,0.8801683771299991,0,18.817172394308745,6.40247266295653,1.0089337508212397,8.681256174970452,12.206129917198975,27.660168912085137,0,0,0,0,0,0,0,0,0.8565342262626194,0.5893492103560628,7.1909881791631625,0,7.951355860517134,0,0,2.1684490145959168,1.4324677647735384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.133910973434462,6.954646670489367,3.6587170104032056,5.784599477415698,1.6947002663073552,4.307997913674958,2.185249949430022,6.072472211588131
MPB:bin_000457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.922173923150236,5.453334573095609,0,0,0,0,0,0,0,0,0,0,0.8358632232269463,0,1.273181617424859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPB:bin_000292,2.760198150212947,1.5245198996790932,2.495055021906267,1.2039528113467497,0,0,0,0,0,0,1.3339124417517538,0,2.0254165928152426,0.8331856304854147,0,1.567967187883119,2.015648385301141,1.5821947944797452,1.6308234797129901,3.1944586799159422,0.7070058716836936,1.8521795560760232,0,0,0,0.7583526668339059,0.5370390609383255,1.2305393239720872,2.0866590068819146,0.731936036078379,1.429938168662118,0,0,1.0567926416234363,1.3488620462950744,0,0.7177084294817526,1.0537772384343007,1.4263281789286455,0,2.0562501521858416,0,0,0,0,0,0,0,0,0,0,0.5391201138435037,0,0.9113737610656802,1.0136426466915789,0,0,0,1.1176103510155821,1.451045990986068,0,0,1.3287735151899873,2.5455099372399745,0,1.9431088268920733,2.688762823957647,1.804442750659283,0.6625392922608049,0.9926622357699867,0.6239336373463772,1.8882794534107465,1.0742055332790088,2.5379926645008615
MPB:bin_000599,0,0,0,0,0,0,0,3.972699033015848,0,4.082047451453595,0.7051239483859322,0,0,0,0,2.333903586283258,0,1.318729819337555,7.567824085708907,0,0,8.099322336978036,0,0,0,0,0,0,0,1.4407355786110752,1.405184960437555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6780482453807126,1.7367522584181405,0,0.9699375314369824,0,0,0.7423805559764478,0,0,0,0,0.9568399352677908,0,0,0,0,0,0,0,0,0,0,0
00-TM2:bin_000005,0,0,0,0,0,0,0,2.0849314503813936,0,0,0,0,0,0,0,0,0,0,0,0,0,112.12328625953484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-TM4:bin_000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9558547708000761,0,1.0834660821792454,0,1.1787803142573101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8052191743722676,2.7369251498365803,0,5.040426018661656,4.384959317455058,1.0031649455575535,4.068044226812968,0,0,4.23186359193986,1.945646706959516,0.5400298747983535,1.2495563356944965,0,14.554439082157378
00:bin_000204,2.1445583650760445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.735823981662564,0,0,4.902429616893728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
